,Roads,Speed Limit
747,RAMP 11 FR MD 210 NB TO IS 295 NB,35
748,RAMP 12 FR IS 295 SB TO MD 210 SB,25
749,RAMP 4 FR IS 95 NB TO MD 216 EB,40
750,RAMP 8 FR MD 702 SB TO MD 150 WB,25
751,RAMP 9 FR RAMP 1 TO REDLAND BLVD,30
752,RAVEN ROCK RD,25
753,RED PUMP RD,15
754,REDLAND RD,33.88888889
755,REECE RD,43.33333333
756,REICHS FORD RD,25
757,REISTERSTOWN RD,30
758,RELIANCE RD,30
759,RENNER RD,36.42857143
760,REVOLUTION ST,33.33333333
761,RHODE ISLAND AVE,35
762,RICHTER FARM RD,32.5
763,RIDGE RD,38.33333333
764,RIDGELY AVE,37.5
765,RIDGELY RD,35
766,RINGGOLD PIKE,35
767,RITCHIE MARLBORO RD,41
768,RITCHIE PKWY,40
769,RIVER RD,30
770,RIVERDALE RD,50
771,RIVERSIDE DR,25
772,RIVERSIDE PKWY,30
773,ROBERT CRAIN HWY,47.5
774,ROBERTS STATION RD,45
775,ROBIN HOOD RD,35
776,ROBINWOOD DR,25
777,ROCK POINT RD,40
778,ROCK SPRING RD,30
779,ROCK SPRINGS RD,40
780,ROCKENBACH RD,25
781,ROCKVILLE PIKE,39.28571429
782,ROCKY SPRINGS RD,40
783,ROGER ST,40
784,ROGERS AVE,25
785,ROHRERSVILLE RD,50
786,ROMANCOKE RD,35
787,ROSEWICK RD,38.88888889
788,ROSSVILLE BLVD,43.33333333
789,ROUNDTOP RD,36.66666667
790,ROUSBY HALL RD,35
791,ROUSE PKWY,40
792,ROYAL OAK RD,40
793,ROYER RD,25
794,S BROWN ST,25
795,S CAMDEN AVE,48.33333333
796,S CHURCH ST,41.66666667
797,S HIGHLAND AVE,25
798,S JEFFERSON ST,36.66666667
799,S KRESSON ST,35
800,S LAKEWOOD AVE,30
801,S MAIN ST,39.16666667
802,S MARKET ST,25
803,S MONROE ST,46.25
804,S OLDHAM ST,36
805,S PHILADELPHIA BLVD,40
806,S PULASKI ST,55
807,S QUEEN ST,35
808,S SCHUMAKER DR,30
809,S SETON AVE,45
810,S UNION AVE,25
811,S WASHINGTON ST,25
812,SACRED HEART LA,30
813,SALEM AVE,35
814,SAM EIG HWY,25
815,SANDS RD,35
816,SANDTOWN RD,36.66666667
817,SANDYMOUNT RD,36.66666667
818,SANNER RD,36.36363636
819,SARGENT RD,35
820,SASSAFRAS ST,41
821,SATYR HILL RD,38
822,SAVAGE RD,42.5
823,SCAGGSVILLE RD,30
824,SECURITY BLVD,30
825,SEMINARY AVE,30
826,SEMINARY RD,33.125
827,SENECA RD,30
828,SERVICE RD LOWER LEVEL,39
829,SETON DR,25
830,SHADY GROVE RD,30
831,SHANNON DR,35
832,SHARPSBURG PIKE,35
833,SHARPTOWN RD,50
834,SHEPPERD RD,25
835,SHOOKSTOWN RD,25
836,SHORE HWY,42.5
837,SHORT LA,25
838,SILVER HILL RD,41.25
839,SIMMS AVE,25
840,SINCLAIR LA,25
841,SINGER RD,25
842,SINGERLY RD,40
843,SIXES RD,41.78571429
844,SIXTH ST,30
845,SIXTY FOOT RD,25
846,SLIGO CREEK PKWY,40
847,SMALLWOOD DR,30
848,SMITH AVE,40
849,SNOW HILL RD,20
850,SNOWDEN FARM PKWY,30
851,SOLOMONS ISLAND RD,25
852,SOMERSET AVE,30
853,SOUDER RD,43.33333333
854,SOUTHAMPTON RD,42.27272727
855,SOUTHEAST BLVD,40
856,SOUTHERN AVE,40
857,SOUTHERN CONNECTOR BLVD,40
858,SOUTHERN MD BLVD,40
859,SOUTHWAY,40
860,SPA RD,25
861,SPARROWS POINT RD,25
862,SPESUTIA RD,25
863,SPRING AVE,55
864,SPRINGFIELD RD,33.33333333
865,SPRINGHILL NEWTOWN RD,40
866,ST ALBANS WAY,25
867,ST AUGUSTINE RD,40
868,ST CHARLES PKWY,35
869,ST LEONARD RD,30
870,ST LOUIS AVE #2,40
871,ST LUKES RD,30
872,ST MARTINS NECK RD,41.25
873,ST MICHAELS RD,30
874,ST PATRICKS DR,30
875,ST PAUL RD,35
876,ST PAUL ST,36.25
877,ST PAULS DR,25
878,STARR RD,40
879,STEMMERS RUN RD,50
880,STEPHEN DECATUR HWY,35
881,STEPHENS RD,50
882,STERLING RD,48
883,STONE CHAPEL RD,30
884,STONE RD,30
885,STONEYBROOK DR,35
886,STRINGTOWN RD,40
887,SUDLERSVILLE RD,35
888,SUITLAND PKWY,25
889,SUITLAND RD,30
890,SUNSET AVE,31.25
891,SUPERIOR ST,30
892,SWAN CREEK RD,36.66666667
893,SYKESVILLE RD,30
894,TAHOMA FARM RD,30
895,TAKOMA AVE,30
